City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Hilo,US,81.81,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
62,Riyadh,SA,78.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
65,Anito,PH,77.49,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
69,Tuni,IN,76.59,heavy intensity rain,17.35,82.55,Sai Krishna Lodge
70,Khirkiya,IN,75.04,overcast clouds,22.1674,76.8605,Sanjay Industries
72,Goderich,CA,73.9,overcast clouds,43.7501,-81.7165,Harmony Inn
74,Tuy Hoa,VN,75.56,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
76,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
79,Sechura,PE,72.79,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
80,Vila Velha,BR,80.96,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
84,Huejucar,MX,75.83,broken clouds,22.35,-103.2167,Hotel Villarreal
85,Ambilobe,MG,73.45,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
89,Abu Dhabi,AE,89.71,broken clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
90,Takoradi,GH,76.98,overcast clouds,4.8845,-1.7554,Raybow International Hotel
92,Vanimo,PG,77.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
97,Vung Tau,VN,80.83,overcast clouds,10.346,107.0843,Green hotel
98,Half Moon Bay,US,77.29,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
100,Bambous Virieux,MU,71.85,few clouds,-20.3428,57.7575,Casa Tia Villa
105,Nicoya,CR,87.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
109,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
110,Ambunti,PG,73.38,overcast clouds,-4.2365,142.8448,Ambunti Lodge
111,Traverse City,US,72.34,broken clouds,44.7631,-85.6206,Bayshore Resort
112,Baloda,IN,75.27,moderate rain,22.15,82.4833,Ganesh Anand Catering services Baloda
113,Umm Lajj,SA,84.18,clear sky,25.0213,37.2685,Moon light Furnished Units
115,Campestre,BR,80.94,scattered clouds,-21.7111,-46.2464,O Precinho
116,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
120,Port Blair,IN,79.41,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
121,Pirawa,IN,76.73,overcast clouds,24.1551,76.0273,सामुदायिक भवन सराय पिड़ावा
124,Nantucket,US,74.97,clear sky,41.2835,-70.0995,Jared Coffin House
134,Bethel,US,78.42,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
138,Ocean City,US,82.29,clear sky,39.2776,-74.5746,Biscayne Suites
142,Broome,US,77.63,clear sky,42.2506,-75.833,Chenango Valley State Park
148,Port Keats,AU,76.33,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
149,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
