City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Walvis Bay,NA,-22.9575,14.5053,58.08,88,27,4.61,scattered clouds
186,Madras,IN,13.0878,80.2785,82.38,78,40,6.91,mist
187,Petropavlivka,UA,48.4564,36.4367,53.11,67,100,5.93,overcast clouds
188,Nedjo,ET,9.5046,35.5019,56.46,86,86,0.76,overcast clouds
189,Labuhan,ID,-6.8844,112.2051,77.16,78,96,10.11,overcast clouds
190,Lumphat,KH,13.4878,106.9816,72.59,98,53,2.24,broken clouds
191,Lamu,KE,-2.2717,40.902,77.22,81,59,15.48,broken clouds
192,Ugoofaaru,MV,5.6667,73.0,81.09,80,100,17.52,light rain
193,Sambava,MG,-14.2667,50.1667,71.11,85,7,13.42,light rain
194,Chifeng,CN,42.2683,118.9636,58.01,62,100,6.13,overcast clouds
195,Zhovtneve,UA,50.6637,24.2492,47.14,78,7,9.82,clear sky
196,Manicore,BR,-5.8092,-61.3003,82.53,69,76,6.38,broken clouds
197,Tasiilaq,GL,65.6145,-37.6368,27.48,69,2,6.29,clear sky
198,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,84,10.69,broken clouds
199,Chapais,CA,49.7834,-74.8492,49.78,89,99,9.53,overcast clouds
200,Pevek,RU,69.7008,170.3133,22.39,72,100,2.15,overcast clouds
201,Sorong,ID,-0.8833,131.25,77.94,87,74,5.59,broken clouds
202,Salta,AR,-24.7859,-65.4117,91.69,26,20,8.01,few clouds
203,Carnarvon,AU,-24.8667,113.6333,55.47,82,6,6.91,clear sky
204,Cabo San Lucas,MX,22.8909,-109.9124,95.5,62,20,8.05,few clouds
205,Lima,PE,-12.0432,-77.0282,68.14,92,40,1.01,scattered clouds
206,Guayaramerin,BO,-10.8368,-65.3614,95.05,46,0,5.75,clear sky
207,Pawa,PH,13.1747,123.7328,77.16,93,92,1.81,overcast clouds
208,Moose Factory,CA,51.2585,-80.6094,50.0,71,90,12.66,overcast clouds
209,Northam,GB,51.0333,-4.2167,58.3,84,22,15.17,few clouds
210,Oistins,BB,13.0667,-59.5333,87.89,66,20,9.22,few clouds
211,Inongo,CD,-1.95,18.2667,70.02,87,43,4.65,scattered clouds
212,Saint-Cyr-Sur-Loire,FR,47.4,0.6667,57.45,72,0,4.61,clear sky
213,Sitka,US,57.0531,-135.33,49.89,87,75,4.61,light rain
214,Puerto Leguizamo,CO,-0.1934,-74.7819,89.89,50,90,1.81,overcast clouds
215,Fort Nelson,CA,58.8053,-122.7002,42.39,100,90,0.0,moderate rain
216,Ostrovnoy,RU,68.0531,39.5131,45.23,89,99,4.05,overcast clouds
217,Zunyi,CN,27.6867,106.9072,68.38,85,0,0.92,clear sky
218,East London,ZA,-33.0153,27.9116,66.07,82,100,19.98,light rain
219,Guerrero Negro,MX,27.9769,-114.0611,73.8,60,31,14.63,scattered clouds
220,Alenquer,BR,-1.9417,-54.7383,89.94,71,71,6.93,broken clouds
221,Kodinsk,RU,58.6881,99.1844,34.2,98,100,5.88,light rain
222,Tamandare,BR,-8.7597,-35.1047,77.31,79,19,11.9,few clouds
223,Ayan,RU,56.45,138.1667,45.97,73,100,9.42,overcast clouds
224,Mantua,IT,45.1667,10.7833,68.95,86,100,1.59,overcast clouds
225,Horki,BY,54.2861,30.9842,43.18,92,32,6.58,scattered clouds
226,Cockburn Town,TC,21.4612,-71.1419,87.76,58,40,5.75,scattered clouds
227,Sisimiut,GL,66.9395,-53.6735,32.32,48,0,8.63,clear sky
228,Imbituba,BR,-28.24,-48.6703,77.83,78,0,14.7,clear sky
229,Naze,JP,28.3667,129.4833,76.71,83,7,9.66,clear sky
230,Bonoua,CI,5.2741,-3.595,78.42,87,100,4.45,light rain
231,Kashiwazaki,JP,37.3667,138.55,60.89,76,100,7.34,overcast clouds
232,Straseni,MD,47.1414,28.6103,55.26,73,0,4.5,clear sky
233,Kpandae,GH,8.4689,-0.0113,76.89,86,94,4.68,light rain
234,Barranca,PE,-10.75,-77.7667,66.6,70,29,10.36,scattered clouds
235,Chuy,UY,-33.6971,-53.4616,63.19,75,60,9.19,broken clouds
236,Nefteyugansk,RU,61.0998,72.6035,35.85,89,7,7.36,clear sky
237,Krasnyy Chikoy,RU,50.3643,108.7512,31.19,93,79,1.9,broken clouds
238,Tucuman,AR,-26.8241,-65.2226,87.8,27,0,8.05,clear sky
239,Hope,US,33.6671,-93.5916,87.85,37,20,8.37,few clouds
240,Ballina,AU,-28.8667,153.5667,53.56,94,90,0.0,overcast clouds
241,Tessalit,ML,20.1986,1.0114,92.64,11,0,8.93,clear sky
242,Lofthus,NO,59.9468,10.8018,57.52,64,100,1.99,moderate rain
243,Neman,RU,55.0311,22.0264,47.01,84,12,8.99,few clouds
244,Tura,IN,25.5198,90.2201,73.33,92,18,3.85,few clouds
245,Severo-Kurilsk,RU,50.6789,156.125,46.99,90,18,9.33,few clouds
246,Pocone,BR,-16.2567,-56.6228,99.66,23,86,7.94,overcast clouds
247,Scarborough,GB,54.2797,-0.4044,56.52,76,3,4.0,clear sky
248,Zeya,RU,53.75,127.2667,39.15,95,0,3.18,clear sky
249,Bosaso,SO,11.2842,49.1816,86.9,63,9,1.59,clear sky
250,Faanui,PF,-16.4833,-151.75,79.41,74,7,19.17,light rain
251,Penzance,GB,50.1186,-5.5371,57.88,70,83,20.11,light rain
252,Cidreira,BR,-30.1811,-50.2056,69.66,84,0,11.21,clear sky
253,Egvekinot,RU,66.3167,-179.1667,22.6,88,100,1.43,overcast clouds
254,Salekhard,RU,66.53,66.6019,31.57,84,100,8.01,overcast clouds
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,81,86,17.11,overcast clouds
256,Ponta Do Sol,PT,32.6667,-17.1,72.72,71,47,5.23,scattered clouds
257,Eston,CA,51.1501,-108.7514,82.29,21,6,27.58,clear sky
258,Inta,RU,66.0317,60.1659,37.18,73,100,9.22,overcast clouds
259,Bandar,ID,2.05,99.75,74.14,93,85,1.59,overcast clouds
260,Gizo,SB,-8.103,156.8419,80.69,77,100,4.27,light rain
261,Saint-Georges,GD,12.0564,-61.7485,85.68,66,75,17.27,thunderstorm
262,Krasnyy Profintern,RU,57.7446,40.435,46.42,85,100,11.1,overcast clouds
263,Cedar City,US,37.6775,-113.0619,76.19,31,1,0.0,clear sky
264,Mount Pleasant,US,32.7941,-79.8626,85.05,62,20,3.0,few clouds
265,Kita,ML,13.0349,-9.4895,80.22,71,10,2.1,clear sky
266,Ngaoundere,CM,7.3167,13.5833,65.88,90,85,1.95,overcast clouds
267,Tiksi,RU,71.6872,128.8694,31.96,98,100,3.76,light snow
268,Madera,US,37.1666,-119.8343,91.53,30,1,7.49,clear sky
269,Bengkulu,ID,-3.8004,102.2655,75.85,90,99,2.51,moderate rain
270,San Patricio,US,28.017,-97.5169,93.61,52,95,13.04,overcast clouds
271,Aasiaat,GL,68.7098,-52.8699,16.86,73,2,7.02,clear sky
272,Joao Pinheiro,BR,-17.7425,-46.1725,85.26,32,98,4.68,overcast clouds
273,Jackson,US,42.4165,-122.8345,65.75,78,90,4.61,overcast clouds
274,Pueblo Nuevo,MX,23.3833,-105.3833,67.48,70,49,5.77,scattered clouds
275,Sibu,MY,2.3,111.8167,75.51,94,40,0.0,scattered clouds
276,Kavaratti,IN,10.5669,72.642,81.52,79,100,20.11,overcast clouds
277,Grajau,BR,-5.8194,-46.1386,94.28,34,72,8.81,broken clouds
278,Nouadhibou,MR,20.931,-17.0347,80.58,57,0,8.05,clear sky
279,Maarianhamina,AX,60.0973,19.9348,51.66,87,20,10.36,few clouds
280,Poum,NC,-20.2333,164.0167,70.88,72,66,10.49,broken clouds
281,Acajutla,SV,13.5928,-89.8275,85.05,72,64,6.42,broken clouds
282,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,9.22,few clouds
283,Marsa Matruh,EG,31.3525,27.2453,77.2,69,0,5.75,clear sky
284,Mandan,US,46.8267,-100.8896,93.04,35,1,5.99,clear sky
285,Notodden,NO,59.5594,9.2585,59.2,92,100,5.99,light rain
286,Airai,TL,-8.9266,125.4092,57.25,77,48,2.28,scattered clouds
287,Maroantsetra,MG,-15.4333,49.7333,71.65,88,84,7.4,light rain
288,Isabela,PH,6.7085,121.9711,78.53,83,82,3.27,broken clouds
289,Kodiak,US,57.79,-152.4072,44.11,53,1,3.44,clear sky
290,Lorengau,PG,-2.0226,147.2712,81.27,78,76,7.16,broken clouds
291,Kidal,ML,18.4411,1.4078,91.53,13,0,10.76,clear sky
292,Marzuq,YE,14.4,46.4667,80.19,42,69,4.09,broken clouds
293,Escarcega,MX,18.6089,-90.7454,92.44,45,68,1.57,broken clouds
294,Marawi,PH,7.9986,124.2928,65.64,87,71,3.38,broken clouds
295,Datong,CN,40.0936,113.2914,60.12,60,100,4.85,overcast clouds
296,Japura,ID,-0.3167,102.35,74.26,97,100,1.23,overcast clouds
297,Kristinehamn,SE,59.3098,14.1081,55.96,73,23,15.19,few clouds
298,Champerico,GT,14.3,-91.9167,91.94,72,63,7.43,broken clouds
299,Pak Phanang,TH,8.3511,100.202,81.07,82,42,1.45,scattered clouds
300,Talara,PE,-4.5772,-81.2719,75.96,60,0,12.66,clear sky
301,Okato,NZ,-39.2,173.8833,45.43,90,100,10.49,light rain
302,Beisfjord,NO,68.3751,17.5988,60.85,74,91,10.87,overcast clouds
303,Aykhal,RU,66.0,111.5,31.19,97,100,14.56,overcast clouds
304,Adrar,MR,20.5022,-10.0711,96.57,8,0,6.49,clear sky
305,Lebedinyy,RU,58.5167,125.5167,37.81,94,100,6.17,overcast clouds
306,Portland,US,45.5234,-122.6762,60.6,94,90,3.0,moderate rain
307,Buala,SB,-8.145,159.5921,79.54,82,99,6.26,light rain
308,Saint-Augustin,CA,51.226,-58.6502,59.85,79,44,16.37,scattered clouds
309,Hermosillo,MX,29.0667,-110.9667,93.85,43,0,1.99,clear sky
310,Pokhara,NP,28.2333,83.9833,71.44,72,75,4.7,broken clouds
311,Dyersburg,US,36.0345,-89.3856,87.89,45,1,10.36,clear sky
312,San Policarpo,PH,12.1791,125.5072,78.3,89,97,6.17,overcast clouds
313,Tautira,PF,-17.7333,-149.15,82.42,77,97,17.49,overcast clouds
314,Mana,GF,5.6592,-53.7767,84.92,69,9,11.7,clear sky
315,Hegang,CN,47.4,130.3667,51.87,91,0,2.06,clear sky
316,Kismayo,SO,-0.3582,42.5454,76.66,81,80,16.13,broken clouds
317,Whitecourt,CA,54.1502,-115.6855,60.04,63,75,6.91,broken clouds
318,Neosho,US,36.869,-94.368,89.76,38,100,11.01,overcast clouds
319,Lahad Datu,MY,5.0268,118.327,76.86,89,36,0.87,scattered clouds
320,Parit Buntar,MY,5.1267,100.4932,78.78,94,100,3.87,overcast clouds
321,Yabelo,ET,4.8833,38.0833,67.96,53,99,3.27,overcast clouds
322,Morondava,MG,-20.2833,44.2833,74.62,87,55,8.84,broken clouds
323,Norman Wells,CA,65.282,-126.8329,33.84,86,90,0.0,light snow
324,Zelenoborskiy,RU,66.845,32.3622,47.5,89,54,3.24,broken clouds
325,Tilichiki,RU,60.4667,166.1,33.71,77,100,4.85,overcast clouds
326,Gainesville,US,29.6516,-82.3248,87.69,47,20,5.75,few clouds
327,Surgut,RU,61.25,73.4167,35.78,100,0,8.95,clear sky
328,Auki,SB,-8.7676,160.7034,78.08,82,99,3.89,overcast clouds
329,Caravelas,BR,-17.7125,-39.2481,75.67,77,58,8.97,broken clouds
330,Whitehorse,CA,60.7161,-135.0538,33.1,100,90,5.99,light snow
331,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,13.0,broken clouds
332,Tharad,IN,24.3961,71.6267,84.36,72,29,3.22,scattered clouds
333,Ewa Beach,US,21.3156,-158.0072,85.95,58,20,11.01,few clouds
334,Lafiagi,NG,8.8667,5.4167,77.38,85,67,4.36,light rain
335,Luderitz,NA,-26.6481,15.1594,58.19,73,0,23.44,clear sky
336,Hammerfest,NO,70.6634,23.6821,57.65,72,0,5.75,clear sky
337,Dhanera,IN,24.5167,72.0167,82.24,77,28,3.33,scattered clouds
338,Kilgore,US,32.3863,-94.8758,86.29,44,75,9.22,broken clouds
339,Hundorp,NO,61.5552,9.9407,52.38,98,100,6.76,light rain
340,Sinnamary,GF,5.3833,-52.95,84.83,67,9,12.73,clear sky
341,Tsaratanana,MG,-16.7833,47.65,70.56,62,8,11.03,clear sky
342,Bhubaneswar,IN,20.2333,85.8333,82.09,100,90,2.3,overcast clouds
343,Teacapan,MX,22.55,-105.75,86.68,63,0,8.61,clear sky
344,Botwood,CA,49.1499,-55.3482,71.08,92,100,9.17,overcast clouds
345,Sola,VU,-13.8833,167.55,79.63,79,62,19.71,broken clouds
346,Tongren,CN,27.7172,109.1853,73.26,95,18,1.36,light rain
347,Tadine,NC,-21.55,167.8833,69.87,67,0,8.3,clear sky
348,Kloulklubed,PW,7.0419,134.2556,79.3,74,94,8.37,overcast clouds
349,Leningradskiy,RU,69.3833,178.4167,26.24,96,100,9.48,light snow
350,Altea,ES,38.5989,-0.0514,77.79,91,68,6.67,broken clouds
